title,technology,description,url
Introduction to R,r,"Master the basics of data analysis by manipulating common data structures such as vectors, matrices, and data frames.",https://www.datacamp.com//courses/free-introduction-to-r
Intermediate R,r,"Continue your journey to becoming an R ninja by learning about conditional statements, loops, and vector functions.",https://www.datacamp.com//courses/intermediate-r
Introduction to Machine Learning,r,Learn to train and assess models performing common machine learning tasks such as classification and clustering.,https://www.datacamp.com//courses/introduction-to-machine-learning-with-r
Cleaning Data in R,r,Learn to explore your data so you can properly clean and prepare it for analysis.,https://www.datacamp.com//courses/cleaning-data-in-r
Introduction to Python,python,Master the basics of data analysis in Python. Expand your skillset by learning scientific computing with numpy.,https://www.datacamp.com//courses/intro-to-python-for-data-science
Intermediate R: Practice,r,Strengthen your knowledge of the topics you learned in Intermediate R with a ton of new and fun exercises.,https://www.datacamp.com//courses/intermediate-r-practice
Data Visualization with ggplot2 (Part 1),r,Learn to produce meaningful and beautiful data visualizations with ggplot2 by understanding the grammar of graphics.,https://www.datacamp.com//courses/data-visualization-with-ggplot2-1
Data Visualization with ggplot2 (Part 2),r,"Take your data visualization skills to the next level with coordinates, facets, themes, and best practices in ggplot2.",https://www.datacamp.com//courses/data-visualization-with-ggplot2-2
Intermediate Python,python,Level up your data science skills by creating visualizations using Matplotlib and manipulating DataFrames with pandas.,https://www.datacamp.com//courses/intermediate-python
Data Visualization with ggplot2 (Part 3),r,This course covers some advanced topics including strategies for handling large data sets and specialty plots.,https://www.datacamp.com//courses/data-visualization-with-ggplot2-part-3
Text Mining with Bag-of-Words in R,r,Learn the bag of words technique for text mining with R.,https://www.datacamp.com//courses/text-mining-with-bag-of-words-in-r
Case Study: Exploring Baseball Pitching Data in R,r,Use a rich baseball dataset from the MLB's Statcast system to practice your data exploration skills.,https://www.datacamp.com//courses/case-study-exploring-baseball-pitching-data-in-r
Introduction to Portfolio Analysis in R,r,"Apply your finance and R skills to backtest, analyze, and optimize financial portfolios.",https://www.datacamp.com//courses/introduction-to-portfolio-analysis-in-r
Credit Risk Modeling in R,r,Apply statistical modeling in a real-life setting using logistic regression and decision trees to model credit risk.,https://www.datacamp.com//courses/introduction-to-credit-risk-modeling-in-r
Machine Learning with caret in R,r,This course teaches the big ideas in machine learning like how to build and evaluate predictive models.,https://www.datacamp.com//courses/machine-learning-with-caret-in-r
Introduction to Databases in Python,python,"In this course, you'll learn the basics of relational databases and how to interact with them.",https://www.datacamp.com//courses/introduction-to-relational-databases-in-python
Manipulating Time Series Data with xts and zoo in R,r,The xts and zoo packages make the task of managing and manipulating ordered observations fast and mistake free.,https://www.datacamp.com//courses/manipulating-time-series-data-with-xts-and-zoo-in-r
Time Series Analysis in R,r,Learn the core techniques necessary to extract meaningful insights from time series data.,https://www.datacamp.com//courses/time-series-analysis-in-r
Importing & Cleaning Data in R: Case Studies,r,"In this series of four case studies, you'll revisit key concepts from our courses on importing and cleaning data in R.",https://www.datacamp.com//courses/importing-cleaning-data-in-r-case-studies
Financial Trading in R,r,This course covers the basics of financial trading and how to use quantstrat to build signal-based trading strategies.,https://www.datacamp.com//courses/financial-trading-in-r
Importing and Managing Financial Data in R,r,Learn how to access financial data from local files as well as from internet sources.,https://www.datacamp.com//courses/importing-and-managing-financial-data-in-r
Interactive Data Visualization with Bokeh,python,Learn how to create versatile and interactive data visualizations using Bokeh.,https://www.datacamp.com//courses/interactive-data-visualization-with-bokeh
Case Study: Exploratory Data Analysis in R,r,Use data manipulation and visualization skills to explore the historical voting of the United Nations General Assembly.,https://www.datacamp.com//courses/case-study-exploratory-data-analysis-in-r
Introduction to Importing Data in R,r,"In this course, you will learn to read CSV, XLS, and text files in R using tools like readxl and data.table.",https://www.datacamp.com//courses/introduction-to-importing-data-in-r
Intermediate Importing Data in R,r,"Parse data in any format. Whether it's flat files, statistical software, databases, or data right from the web.",https://www.datacamp.com//courses/intermediate-importing-data-in-r
Data Visualization in R,r,This course provides a comprehensive introduction to working with base graphics in R.,https://www.datacamp.com//courses/data-visualization-in-r
Python Data Science Toolbox (Part 2),python,Continue to build your modern Data Science skills by learning about iterators and list comprehensions.,https://www.datacamp.com//courses/python-data-science-toolbox-part-2
Python Data Science Toolbox (Part 1),python,"Learn the art of writing your own functions in Python, as well as key concepts like scoping and error handling.",https://www.datacamp.com//courses/python-data-science-toolbox-part-1
Statistical Thinking in Python (Part 1),python,Build the foundation you need to think statistically and to speak the language of your data.,https://www.datacamp.com//courses/statistical-thinking-in-python-part-1
